#Ranger mon chinois : recto de la note, paquet, rang (ordre des nouvelles cartes)
"De quel ton est ce caractère ?<br><br><span class=""hanzi"">郑</span><br><br>Choix : 1er ton / 2e ton / 3e ton / 4e ton"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	71
"Ce mot est écrit en caractères non simplifiés. Lisez-le et donnez sa forme simplifiée :<br><br><span class=""hanzi"">太陽</span>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	72
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t1"">tā</span></div><div style=""font-size:20px"">elle</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿们 <span class=""t1"">tā</span><span class=""t0"">men</span> — elles</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	73
"Ce mot est écrit en caractères non simplifiés. Lisez-le et donnez sa forme simplifiée :<br><br><span class=""hanzi"">號</span>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	74
不客气	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	75
"Ce mot est écrit en caractères non simplifiés. Lisez-le et donnez sa forme simplifiée :<br><br><span class=""hanzi"">換</span>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	76
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t4"">dà</span></div><div style=""font-size:20px"">grand, gros</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿家 <span class=""t4"">dà</span><span class=""t1"">jiā</span> — tout le monde, vous tous<br>＿学 <span class=""t4"">dà</span><span class=""t2"">xué</span> — université - 上＿学 = aller à l&#x27;université<br>不＿ <span class=""t2"">bú</span><span class=""t4"">dà</span> — pas très ; pas souvent ; pas grand</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	77
Complétez ce chengyu (expression à 4 caractères) :<br><br>一___千里<br><br>Choix : 步 / 日 / 飞	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	78
"Quel est le pinyin correct pour ce caractère ?<br><br><span class=""hanzi"">的</span><br><br>Choix : de / dì / dé"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	79
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t1"">zhōng</span> / <span class=""t1"">Zhōng</span></div><div style=""font-size:20px"">milieu / Chine / dans - ＿间 = au milieu ⚠ zhòng = atteindre</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">＿午 <span class=""t1"">zhōng</span><span class=""t3"">wǔ</span> — midi<br>＿国 <span class=""t1"">zhōng</span><span class=""t2"">guó</span> — Chine<br>＿文 <span class=""t1"">Zhōng</span><span class=""t2"">wén</span> — langue/culture chinoise (terme courant, écrit et oral)</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	80
你们俩是怎么认识的？	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	81
怎么样	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	82
"De quel ton est ce caractère ?<br><br><span class=""hanzi"">巨</span><br><br>Choix : 1er ton / 2e ton / 3e ton / 4e ton"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	83
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t2"">guó</span></div><div style=""font-size:20px"">pays ; État ; national</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">中＿ <span class=""t1"">zhōng</span><span class=""t2"">guó</span> — Chine<br>＿外 <span class=""t2"">guó</span><span class=""t4"">wài</span> — à l&#x27;étranger<br>回＿ <span class=""t2"">huí</span><span class=""t2"">guó</span> — rentrer dans son pays</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	84
"Ce mot est écrit en caractères non simplifiés. Lisez-le et donnez sa forme simplifiée :<br><br><span class=""hanzi"">德國</span>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	85
你是北京人吗？	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	86
"Ce mot est écrit en caractères non simplifiés. Lisez-le et donnez sa forme simplifiée :<br><br><span class=""hanzi"">萬</span>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	87
"<div style=""font-size:18px;color:#888"">✍️ Écrivez le caractère</div><div style=""font-size:30px;margin:6px 0""><span class=""t0"">men</span></div><div style=""font-size:20px"">suffixe pluriel (我＿, 你＿, 他＿)</div><div style=""text-align:left;font-size:22px;margin-top:10px;line-height:1.7"">他＿ <span class=""t1"">tā</span><span class=""t0"">men</span> — ils, eux (masculin ou mixte)<br>你＿ <span class=""t3"">nǐ</span><span class=""t0"">men</span> — vous (pluriel)<br>我＿ <span class=""t3"">wǒ</span><span class=""t0"">men</span> — nous</div>"	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	88
话	Chinois::1 · Premier niveau::L01 · Se présenter et présenter	89
